truck_id,tracking_number,lat,lng,timestamp_offset_seconds
T-08,FF-000308,34.113583,-117.316658,58
T-04,FF-000304,33.71142,-117.770672,59
T-05,FF-000305,34.068782,-117.427119,60
T-01,FF-000301,34.002501,-117.352391,61
T-06,FF-000306,33.99715,-118.242859,61
T-02,FF-000302,33.769721,-118.134389,62
T-03,FF-000303,34.068179,-117.671645,62
T-07,FF-000307,33.913442,-117.576729,62
T-08,FF-000308,34.114125,-117.318463,62
T-04,FF-000304,33.713143,-117.766358,63
T-05,FF-000305,34.068017,-117.4266,64
T-01,FF-000301,34.003068,-117.35066,65
T-06,FF-000306,33.993575,-118.24299,65
T-02,FF-000302,33.770139,-118.130031,66
T-03,FF-000303,34.068328,-117.672931,66
T-07,FF-000307,33.915997,-117.576954,66
T-08,FF-000308,34.114217,-117.320208,66
T-04,FF-000304,33.714954,-117.762103,67
T-05,FF-000305,34.066025,-117.425782,68
T-01,FF-000301,34.005112,-117.34877,69
T-06,FF-000306,33.989436,-118.2428,69
T-02,FF-000302,33.770033,-118.125941,70
T-03,FF-000303,34.068896,-117.674582,70
T-07,FF-000307,33.918881,-117.578134,70
T-08,FF-000308,34.114487,-117.322006,70
T-04,FF-000304,33.717813,-117.75924,71
T-05,FF-000305,34.064531,-117.425078,72
T-01,FF-000301,34.007129,-117.347968,73
T-06,FF-000306,33.98554,-118.241634,73
T-02,FF-000302,33.770688,-118.122359,74
T-03,FF-000303,34.068753,-117.674975,74
T-07,FF-000307,33.9207,-117.579332,74
T-08,FF-000308,34.114763,-117.324229,74
T-04,FF-000304,33.719061,-117.754565,75
T-05,FF-000305,34.062885,-117.42459,76
T-01,FF-000301,34.008736,-117.346486,77
T-06,FF-000306,33.981963,-118.241951,77
T-02,FF-000302,33.770976,-118.117976,78
T-07,FF-000307,33.923486,-117.580136,78
T-08,FF-000308,34.114677,-117.326107,78
T-03,FF-000303,34.06857,-117.676818,79
T-04,FF-000304,33.72126,-117.7511,79
T-05,FF-000305,34.06104,-117.424033,80
T-01,FF-000301,34.010017,-117.34487,81
T-06,FF-000306,33.977581,-118.241722,81
T-07,FF-000307,33.926904,-117.581097,81
T-02,FF-000302,33.770988,-118.114269,82
T-08,FF-000308,34.115128,-117.328187,82
T-03,FF-000303,34.069024,-117.678449,83
T-04,FF-000304,33.723868,-117.746969,83
T-05,FF-000305,34.060067,-117.423382,84
T-01,FF-000301,34.011648,-117.343148,85
T-06,FF-000306,33.9743,-118.241482,85
T-07,FF-000307,33.929596,-117.582102,85
T-02,FF-000302,33.771579,-118.109812,86
T-08,FF-000308,34.115502,-117.330365,86
T-03,FF-000303,34.069289,-117.679573,87
T-04,FF-000304,33.725963,-117.743357,87
T-05,FF-000305,34.05806,-117.422799,88
T-01,FF-000301,34.013385,-117.341913,89
T-06,FF-000306,33.970547,-118.24139,89
T-07,FF-000307,33.932255,-117.583175,89
T-02,FF-000302,33.771427,-118.1064,90
T-08,FF-000308,34.115601,-117.33243,90
T-03,FF-000303,34.068928,-117.680432,91
T-04,FF-000304,33.72802,-117.739224,91
T-05,FF-000305,34.056772,-117.42223,92
T-01,FF-000301,34.014978,-117.340514,93
T-06,FF-000306,33.966156,-118.240099,93
T-07,FF-000307,33.93464,-117.583511,93
T-02,FF-000302,33.772331,-118.102762,94
T-08,FF-000308,34.116051,-117.334033,94
T-03,FF-000303,34.069551,-117.682368,95
T-04,FF-000304,33.730351,-117.735752,95
T-05,FF-000305,34.055238,-117.421569,96
T-01,FF-000301,34.016194,-117.339525,97
T-06,FF-000306,33.961776,-118.239889,97
T-07,FF-000307,33.937509,-117.584616,97
T-02,FF-000302,33.773461,-118.098865,98
T-08,FF-000308,34.115882,-117.336663,98
T-03,FF-000303,34.06921,-117.68391,99
T-04,FF-000304,33.732616,-117.732082,99
T-05,FF-000305,34.05308,-117.420532,100
T-01,FF-000301,34.017849,-117.337827,101
T-06,FF-000306,33.957961,-118.239875,101
T-07,FF-000307,33.940554,-117.585658,101
T-02,FF-000302,33.774062,-118.095133,102
T-08,FF-000308,34.115476,-117.338502,102
T-03,FF-000303,34.069843,-117.685073,103
T-04,FF-000304,33.735011,-117.728439,103
T-05,FF-000305,34.051874,-117.419802,104
T-01,FF-000301,34.019533,-117.335957,105
T-06,FF-000306,33.954607,-118.239182,105
T-07,FF-000307,33.942454,-117.58733,105
T-02,FF-000302,33.774024,-118.091292,106
T-08,FF-000308,34.11578,-117.34016,106
T-03,FF-000303,34.06967,-117.686439,107
T-04,FF-000304,33.737072,-117.724444,107
T-05,FF-000305,34.050596,-117.419305,108
T-01,FF-000301,34.020989,-117.335683,109
T-06,FF-000306,33.949858,-118.239566,109
T-07,FF-000307,33.945732,-117.587596,109
T-02,FF-000302,33.774272,-118.087278,110
T-08,FF-000308,34.115611,-117.341931,110
T-03,FF-000303,34.069761,-117.687771,111
T-04,FF-000304,33.740138,-117.720919,111
T-05,FF-000305,34.048856,-117.418736,112
T-06,FF-000306,33.946784,-118.23852,113
T-07,FF-000307,33.947454,-117.588085,113
T-01,FF-000301,34.023102,-117.333636,114
T-02,FF-000302,33.774984,-118.083395,114
T-08,FF-000308,34.115886,-117.344875,114
T-03,FF-000303,34.069835,-117.689143,115
T-04,FF-000304,33.742294,-117.717067,115
T-05,FF-000305,34.047552,-117.417547,116
T-06,FF-000306,33.942839,-118.238118,117
T-07,FF-000307,33.950776,-117.589459,117
T-01,FF-000301,34.024669,-117.332534,118
T-02,FF-000302,33.775059,-118.079022,118
T-08,FF-000308,34.115726,-117.347031,118
T-03,FF-000303,34.06987,-117.690237,119
T-04,FF-000304,33.744736,-117.713571,119
T-05,FF-000305,34.04579,-117.416945,120
T-06,FF-000306,33.938908,-118.237671,121
T-07,FF-000307,33.952568,-117.590389,121
T-01,FF-000301,34.026601,-117.33155,122
T-02,FF-000302,33.776292,-118.075273,122
T-08,FF-000308,34.115606,-117.348402,122
T-03,FF-000303,34.069587,-117.692046,123
T-04,FF-000304,33.746927,-117.709762,123
T-05,FF-000305,34.043853,-117.416357,124
T-06,FF-000306,33.935171,-118.236957,125
T-07,FF-000307,33.955399,-117.591904,125
T-01,FF-000301,34.027411,-117.330433,126
T-02,FF-000302,33.776722,-118.071889,126
T-08,FF-000308,34.11559,-117.350315,126
T-03,FF-000303,34.069326,-117.693358,127
T-04,FF-000304,33.749313,-117.70669,127
T-05,FF-000305,34.042702,-117.415513,128
T-06,FF-000306,33.931763,-118.236058,129
T-07,FF-000307,33.958479,-117.593244,129
T-01,FF-000301,34.029797,-117.329471,130
T-02,FF-000302,33.778686,-118.068425,130
T-08,FF-000308,34.115575,-117.352373,130
T-03,FF-000303,34.069284,-117.694223,131
T-04,FF-000304,33.751751,-117.703358,131
T-05,FF-000305,34.041057,-117.415156,132
T-06,FF-000306,33.92756,-118.236021,133
T-07,FF-000307,33.96091,-117.593531,133
T-01,FF-000301,34.031205,-117.327741,134
T-02,FF-000302,33.778032,-118.064523,134
T-08,FF-000308,34.116043,-117.353805,134
T-03,FF-000303,34.069523,-117.695357,135
T-04,FF-000304,33.754217,-117.699077,135
T-05,FF-000305,34.039547,-117.414189,136
T-06,FF-000306,33.923942,-118.235431,137
T-07,FF-000307,33.963924,-117.59465,137
T-01,FF-000301,34.032793,-117.326393,138
T-02,FF-000302,33.779396,-118.060353,138
T-08,FF-000308,34.115128,-117.355766,138
T-03,FF-000303,34.070163,-117.697166,139
T-04,FF-000304,33.757086,-117.695582,139
T-05,FF-000305,34.037644,-117.413252,140
T-06,FF-000306,33.920087,-118.235208,141
T-07,FF-000307,33.965253,-117.596091,141
T-01,FF-000301,34.034764,-117.32472,142
T-02,FF-000302,33.780446,-118.056847,142
T-08,FF-000308,34.114841,-117.358357,142
T-03,FF-000303,34.068943,-117.698631,143
T-04,FF-000304,33.759514,-117.692071,143
T-05,FF-000305,34.035893,-117.412212,144
T-06,FF-000306,33.916393,-118.23439,145
T-07,FF-000307,33.968446,-117.59684,145
T-01,FF-000301,34.036488,-117.32442,146
T-02,FF-000302,33.780414,-118.053117,146
T-08,FF-000308,34.11562,-117.360753,146
T-03,FF-000303,34.069298,-117.700305,147
T-04,FF-000304,33.761471,-117.688955,147
T-05,FF-000305,34.035191,-117.411646,148
T-06,FF-000306,33.912177,-118.233947,149
T-07,FF-000307,33.971271,-117.598654,149
T-01,FF-000301,34.037854,-117.323322,150
T-08,FF-000308,34.115149,-117.362423,150
T-02,FF-000302,33.782132,-118.04907,151
T-03,FF-000303,34.069145,-117.701114,151
T-04,FF-000304,33.764053,-117.685418,151
T-05,FF-000305,34.033127,-117.411114,152
T-06,FF-000306,33.908998,-118.232847,153
T-07,FF-000307,33.973421,-117.598909,153
T-08,FF-000308,34.114727,-117.364064,153
T-01,FF-000301,34.040039,-117.322091,154
T-02,FF-000302,33.782069,-118.045451,155
T-03,FF-000303,34.068967,-117.70277,155
T-04,FF-000304,33.767123,-117.681564,156
T-05,FF-000305,34.031874,-117.410749,156
T-06,FF-000306,33.905185,-118.232037,156
T-07,FF-000307,33.976521,-117.599789,157
T-08,FF-000308,34.115051,-117.366214,157
T-01,FF-000301,34.041472,-117.320559,158
T-02,FF-000302,33.784003,-118.04104,159
T-03,FF-000303,34.068747,-117.703343,159
T-04,FF-000304,33.769715,-117.67799,160
T-05,FF-000305,34.030472,-117.409006,160
T-06,FF-000306,33.900522,-118.231738,160
T-07,FF-000307,33.978472,-117.601179,161
T-08,FF-000308,34.114272,-117.367742,161
T-01,FF-000301,34.043025,-117.319749,162
T-02,FF-000302,33.784709,-118.03783,163
T-03,FF-000303,34.068783,-117.705465,163
T-04,FF-000304,33.772491,-117.674221,164
T-05,FF-000305,34.028827,-117.408529,164
T-06,FF-000306,33.897457,-118.230915,164
T-07,FF-000307,33.981627,-117.602324,165
T-08,FF-000308,34.113946,-117.370133,165
T-01,FF-000301,34.044448,-117.318877,166
T-02,FF-000302,33.785157,-118.034428,167
T-03,FF-000303,34.06856,-117.706267,167
T-04,FF-000304,33.774641,-117.671165,168
T-05,FF-000305,34.027482,-117.407443,168
T-06,FF-000306,33.893103,-118.229991,168
T-07,FF-000307,33.98385,-117.603624,169
T-08,FF-000308,34.113712,-117.371812,169
T-01,FF-000301,34.046598,-117.317332,170
T-02,FF-000302,33.786562,-118.030283,171
T-03,FF-000303,34.068293,-117.707744,171
T-04,FF-000304,33.777354,-117.668129,172
T-05,FF-000305,34.026267,-117.406702,172
T-06,FF-000306,33.889582,-118.229473,172
T-07,FF-000307,33.985909,-117.605509,173
T-08,FF-000308,34.113682,-117.374074,173
T-01,FF-000301,34.048904,-117.316381,174
T-02,FF-000302,33.787771,-118.026844,175
T-03,FF-000303,34.068529,-117.708997,175
T-04,FF-000304,33.780419,-117.663863,176
T-05,FF-000305,34.024248,-117.405997,176
T-06,FF-000306,33.885745,-118.228524,176
T-07,FF-000307,33.988947,-117.606395,177
T-08,FF-000308,34.112948,-117.375644,177
T-01,FF-000301,34.050411,-117.315258,178
T-02,FF-000302,33.788331,-118.023208,179
T-03,FF-000303,34.068528,-117.71072,179
T-04,FF-000304,33.78294,-117.660961,180
T-05,FF-000305,34.023029,-117.404535,180
T-06,FF-000306,33.881277,-118.22742,180
T-07,FF-000307,33.991144,-117.607694,181
T-08,FF-000308,34.112677,-117.377743,181
T-01,FF-000301,34.052454,-117.313987,182
T-02,FF-000302,33.78944,-118.019062,183
T-03,FF-000303,34.068231,-117.712125,183
T-04,FF-000304,33.786017,-117.658127,184
T-05,FF-000305,34.021403,-117.404452,184
T-06,FF-000306,33.878026,-118.226349,184
T-07,FF-000307,33.993529,-117.608694,185
T-08,FF-000308,34.112346,-117.379841,185
T-01,FF-000301,34.054016,-117.313519,186
T-02,FF-000302,33.790235,-118.015643,187
T-03,FF-000303,34.067541,-117.712859,187
T-04,FF-000304,33.788514,-117.654008,188
T-05,FF-000305,34.019767,-117.403892,188
T-06,FF-000306,33.874143,-118.226363,188
T-07,FF-000307,33.995829,-117.61,189
T-08,FF-000308,34.111713,-117.381442,189
T-01,FF-000301,34.05602,-117.312077,191
T-02,FF-000302,33.792235,-118.011381,191
T-03,FF-000303,34.067661,-117.714546,191
T-04,FF-000304,33.791083,-117.650278,192
T-05,FF-000305,34.01866,-117.40279,192
T-06,FF-000306,33.871067,-118.225493,192
T-07,FF-000307,33.998691,-117.611315,193
T-08,FF-000308,34.111205,-117.383164,193
T-01,FF-000301,34.057941,-117.311189,195
T-02,FF-000302,33.793324,-118.007839,195
T-03,FF-000303,34.066797,-117.715707,195
T-04,FF-000304,33.794362,-117.647434,196
T-05,FF-000305,34.016729,-117.402085,196
T-06,FF-000306,33.866746,-118.223947,196
T-07,FF-000307,34.00087,-117.612341,197
T-08,FF-000308,34.111159,-117.385834,197
T-01,FF-000301,34.059993,-117.31029,199
T-02,FF-000302,33.794416,-118.004672,199
T-03,FF-000303,34.06669,-117.71748,199
T-04,FF-000304,33.796884,-117.64415,200
T-05,FF-000305,34.015305,-117.400424,200
T-06,FF-000306,33.863068,-118.22371,200
T-07,FF-000307,34.004124,-117.614056,201
T-08,FF-000308,34.110717,-117.387336,201
T-01,FF-000301,34.061728,-117.309165,203
T-02,FF-000302,33.795597,-118.000307,203
T-03,FF-000303,34.066396,-117.718454,203
T-04,FF-000304,33.799618,-117.64112,204
T-05,FF-000305,34.013793,-117.400213,204
T-06,FF-000306,33.859457,-118.222338,204
T-07,FF-000307,34.006396,-117.614921,205
T-08,FF-000308,34.110378,-117.388972,205
T-01,FF-000301,34.062947,-117.308569,207
T-02,FF-000302,33.797391,-117.996942,207
T-03,FF-000303,34.06565,-117.719745,207
T-04,FF-000304,33.803071,-117.63713,208
T-05,FF-000305,34.012791,-117.398877,208
T-06,FF-000306,33.856023,-118.22115,208
T-07,FF-000307,34.007687,-117.616742,209
T-08,FF-000308,34.109535,-117.391462,209
T-01,FF-000301,34.064919,-117.306848,211
T-02,FF-000302,33.799417,-117.993429,211
T-03,FF-000303,34.06602,-117.721352,211
T-04,FF-000304,33.805804,-117.634494,212
T-05,FF-000305,34.011422,-117.39763,212
T-06,FF-000306,33.852789,-118.220845,212
T-07,FF-000307,34.010744,-117.617618,213
T-08,FF-000308,34.108938,-117.393472,213
T-01,FF-000301,34.06708,-117.306127,215
T-02,FF-000302,33.799959,-117.989665,215
T-03,FF-000303,34.065946,-117.722316,215
T-04,FF-000304,33.809119,-117.630316,216
T-05,FF-000305,34.009849,-117.397311,216
T-06,FF-000306,33.848116,-118.219677,216
T-07,FF-000307,34.013436,-117.619064,217
T-08,FF-000308,34.10835,-117.395018,217
T-01,FF-000301,34.068003,-117.305193,219
T-02,FF-000302,33.801092,-117.985407,219
T-03,FF-000303,34.065106,-117.724021,219
T-04,FF-000304,33.811504,-117.627942,220
T-05,FF-000305,34.008378,-117.395833,220
T-06,FF-000306,33.844717,-118.218094,220
T-07,FF-000307,34.016009,-117.620843,221
T-08,FF-000308,34.108011,-117.397174,221
T-01,FF-000301,34.070773,-117.304658,223
T-02,FF-000302,33.803027,-117.982874,223
T-03,FF-000303,34.065135,-117.725595,223
T-04,FF-000304,33.814164,-117.624323,224
T-05,FF-000305,34.006808,-117.395468,224
T-06,FF-000306,33.840849,-118.217538,224
T-07,FF-000307,34.018027,-117.622321,225
T-08,FF-000308,34.107196,-117.398844,225
T-01,FF-000301,34.072317,-117.303595,227
T-02,FF-000302,33.803902,-117.978684,227
T-03,FF-000303,34.06445,-117.726649,228
T-04,FF-000304,33.817149,-117.621253,228
T-05,FF-000305,34.005886,-117.394206,228
T-06,FF-000306,33.836655,-118.216857,228
T-07,FF-000307,34.020626,-117.623385,228
T-08,FF-000308,34.106657,-117.401179,229
T-01,FF-000301,34.074931,-117.303025,231
T-02,FF-000302,33.805735,-117.975584,231
T-03,FF-000303,34.06418,-117.727714,232
T-04,FF-000304,33.820771,-117.618506,232
T-05,FF-000305,34.004009,-117.393114,232
T-06,FF-000306,33.83365,-118.215018,232
T-07,FF-000307,34.023149,-117.624976,232
T-08,FF-000308,34.106131,-117.402862,233
T-01,FF-000301,34.076204,-117.301429,235
T-02,FF-000302,33.806331,-117.972125,235
T-03,FF-000303,34.063765,-117.728753,236
T-04,FF-000304,33.82409,-117.614412,236
T-05,FF-000305,34.003022,-117.392068,236
T-06,FF-000306,33.829322,-118.213792,236
T-07,FF-000307,34.025784,-117.625904,236
T-08,FF-000308,34.105203,-117.404449,237
T-01,FF-000301,34.078126,-117.301089,239
T-02,FF-000302,33.808526,-117.967964,239
T-03,FF-000303,34.063403,-117.730504,240
T-04,FF-000304,33.826185,-117.61215,240
T-05,FF-000305,34.001198,-117.390963,240
T-06,FF-000306,33.825892,-118.212661,240
T-07,FF-000307,34.028384,-117.627402,240
T-08,FF-000308,34.105104,-117.406596,241
T-01,FF-000301,34.080226,-117.300509,243
T-02,FF-000302,33.81022,-117.964552,243
T-03,FF-000303,34.062537,-117.731507,244
T-04,FF-000304,33.829561,-117.608897,244
T-05,FF-000305,34.000532,-117.389764,244
T-06,FF-000306,33.821449,-118.212028,244
T-07,FF-000307,34.030377,-117.628863,244
T-08,FF-000308,34.104195,-117.408359,245
T-01,FF-000301,34.082209,-117.29967,247
T-02,FF-000302,33.811349,-117.961323,247
T-03,FF-000303,34.06261,-117.732601,248
T-04,FF-000304,33.83268,-117.60624,248
T-05,FF-000305,33.998684,-117.389522,248
T-06,FF-000306,33.818269,-118.210548,248
T-07,FF-000307,34.0329,-117.630724,248
T-08,FF-000308,34.10343,-117.410157,249
T-01,FF-000301,34.084364,-117.298491,251
T-02,FF-000302,33.813446,-117.957007,252
T-03,FF-000303,34.061764,-117.73434,252
T-04,FF-000304,33.835826,-117.601819,252
T-05,FF-000305,33.998206,-117.388541,252
T-06,FF-000306,33.814774,-118.209776,252
T-07,FF-000307,34.035494,-117.631489,252
T-08,FF-000308,34.103199,-117.412305,252
T-01,FF-000301,34.086749,-117.297607,255
T-02,FF-000302,33.815306,-117.95329,256
T-03,FF-000303,34.061493,-117.735685,256
T-04,FF-000304,33.838718,-117.599353,256
T-05,FF-000305,33.995572,-117.387379,256
T-06,FF-000306,33.810806,-118.207611,256
T-07,FF-000307,34.038083,-117.633485,256
T-08,FF-000308,34.102075,-117.413969,256
T-01,FF-000301,34.088448,-117.297295,259
T-02,FF-000302,33.816643,-117.949539,260
T-03,FF-000303,34.061022,-117.737483,260
T-04,FF-000304,33.841787,-117.596008,260
T-05,FF-000305,33.994778,-117.386023,260
T-06,FF-000306,33.80726,-118.20679,260
T-07,FF-000307,34.039965,-117.634875,260
T-08,FF-000308,34.101062,-117.41647,260
T-01,FF-000301,34.089986,-117.296033,264
T-02,FF-000302,33.818381,-117.946565,264
T-03,FF-000303,34.060759,-117.738081,264
T-04,FF-000304,33.84537,-117.592562,264
T-05,FF-000305,33.992474,-117.385041,264
T-06,FF-000306,33.803335,-118.205578,264
T-07,FF-000307,34.042238,-117.636333,264
T-08,FF-000308,34.100635,-117.418499,264
T-01,FF-000301,34.092539,-117.295875,268
T-02,FF-000302,33.820019,-117.942973,268
T-03,FF-000303,34.06033,-117.738909,268
T-04,FF-000304,33.848727,-117.590218,268
T-05,FF-000305,33.991682,-117.38418,268
T-06,FF-000306,33.800174,-118.204513,268
T-07,FF-000307,34.044567,-117.638108,268
T-08,FF-000308,34.100077,-117.419663,268
T-01,FF-000301,34.094315,-117.294448,272
T-02,FF-000302,33.821309,-117.939189,272
T-03,FF-000303,34.05936,-117.740901,272
T-04,FF-000304,33.852079,-117.587236,272
T-05,FF-000305,33.989772,-117.383258,272
T-06,FF-000306,33.796296,-118.203524,272
T-07,FF-000307,34.04749,-117.639546,272
T-08,FF-000308,34.098754,-117.421801,272
T-01,FF-000301,34.09649,-117.293681,276
T-02,FF-000302,33.823848,-117.935789,276
T-03,FF-000303,34.058908,-117.741613,276
T-04,FF-000304,33.854785,-117.583989,276
T-05,FF-000305,33.988631,-117.38198,276
T-06,FF-000306,33.792405,-118.201686,276
T-07,FF-000307,34.049335,-117.640891,276
T-08,FF-000308,34.098358,-117.423991,276
T-01,FF-000301,34.098067,-117.293333,280
T-02,FF-000302,33.825403,-117.932021,280
T-03,FF-000303,34.057821,-117.743353,280
T-04,FF-000304,33.85843,-117.581041,280
T-05,FF-000305,33.987235,-117.380706,280
T-06,FF-000306,33.788305,-118.200304,280
T-07,FF-000307,34.051706,-117.642641,280
T-08,FF-000308,34.096599,-117.425774,280
T-01,FF-000301,34.099708,-117.292415,284
T-02,FF-000302,33.828008,-117.92858,284
T-03,FF-000303,34.05732,-117.745576,284
T-04,FF-000304,33.861913,-117.578272,284
T-05,FF-000305,33.985739,-117.380377,284
T-06,FF-000306,33.784635,-118.199529,284
T-07,FF-000307,34.053982,-117.644681,284
T-08,FF-000308,34.095961,-117.427783,284
T-01,FF-000301,34.102065,-117.291178,288
T-02,FF-000302,33.829246,-117.925236,288
T-03,FF-000303,34.056562,-117.746517,288
T-04,FF-000304,33.865267,-117.574643,288
T-05,FF-000305,33.98444,-117.378376,288
T-06,FF-000306,33.781147,-118.197342,288
T-07,FF-000307,34.056326,-117.646257,288
T-08,FF-000308,34.095158,-117.429323,288
T-01,FF-000301,34.103989,-117.291013,292
T-02,FF-000302,33.831314,-117.921911,292
T-03,FF-000303,34.05688,-117.747664,292
T-04,FF-000304,33.868172,-117.571705,292
T-05,FF-000305,33.983131,-117.376993,292
T-06,FF-000306,33.777554,-118.196254,292
T-07,FF-000307,34.058726,-117.647885,292
T-08,FF-000308,34.093918,-117.430764,292
T-01,FF-000301,34.105761,-117.290566,296
T-02,FF-000302,33.833265,-117.917994,296
T-03,FF-000303,34.055869,-117.749051,296
T-04,FF-000304,33.871818,-117.569535,296
T-05,FF-000305,33.982097,-117.376951,296
T-06,FF-000306,33.773559,-118.195105,296
T-07,FF-000307,34.061259,-117.648933,296
T-08,FF-000308,34.092774,-117.433507,296
T-01,FF-000301,34.108378,-117.289553,300
T-02,FF-000302,33.835853,-117.914217,300
T-03,FF-000303,34.055483,-117.750331,300
T-04,FF-000304,33.876028,-117.566353,300
T-05,FF-000305,33.98035,-117.375427,300
T-06,FF-000306,33.769747,-118.193871,300
T-07,FF-000307,34.063384,-117.65083,300
T-08,FF-000308,34.092313,-117.435062,300
